region; plant_type; bloom_period; common_name; scientific_name; life_cycle; flower_color; max_height; water_needs; notes
California; Shrubs & Trees; Early-Mid; Silver bush lupine; Lupinus albifrons; P; purple; 3; L; Showy, deep purple flowers with contrasting silver foliage. Attracts numerous bee species. Requires good drainage.
California; Shrubs & Trees; Mid; California buckwheat; Eriogonum fasciculatum; P; white; 2.5; L; Favored nectar source of many blue and hairstreak butterflies, also very attractive to native bees. Drought tolerant.
Florida; Forbs; Early; Dotted horsemint; Monarda punctata; P; pink; 2-4; L; Showy pink bracts attract bees, butterflies, wasps (aphid predators) to nectar-rich blooms. Fragrant foliage produces thymol.
Florida; Forbs; Early; Manyflower beardtongue; Penstemon multiflorus; P; white; 1.5-2.5; L; It is fun to watch bees squeeze into the nectar rich flowers in early spring. Prominent nectar guides signal 'follow me'.
Florida; Forbs; Early; White wild indigo; Baptisia alba; P; white; 2-5; L; Legume. Excellent for bees, especially bumble bees (Bombus spp.). Larval host for wild indigo and Zarucco duskywing butterflies.
Florida; Forbs; Early-Late; Aquatic milkweed; Asclepias perennis; P; white; 1-3; H; Larval host for monarch, queen, and soldier butterflies (Danaus spp.). Excellent nectar source for bees and beneficials.
Florida; Forbs; Early-Late; Blanketflower; Gaillardia pulchella; A, P; yellow, red; 2; L; Easy to grow, late-blooming annual that will reseed into bare soil. Excellent cut flower. Supports many pollinators.
Florida; Forbs; Early-Late; Butterfly milkweed; Asclepias tuberosa; P; orange; 1-2; L; Adapted to dry soils. Highly attractive to diverse pollinators. Host plant for numerous butterflies, including monarch, queen, and soldier.
Florida; Forbs; Early-Late; East coast dune sunflower; Helianthus debilis; A, P; yellow; 1-2.5; L; Low, spreading ground cover. Excellent source of pollen, nectar, and seed (for birds). Reseeding annual in areas with winter freeze.
Florida; Forbs; Early-Late; Ohio spiderwort; Tradescantia ohiensis; P; blue; 2-3; M; Diverse pollinators visit beautiful blue to purple flowers. Long bloom period makes it valuable as late fall nectar and pollen source.
Florida; Forbs; Early-Late; Rattlesnake master; Eryngium yuccifolium; P; white; 2-5; M; Supports and huge diversity of bees, butterflies, and other insects with beautiful, unique flowers.
Florida; Forbs; Early-Late; Scarlet sage; Salvia coccinea; A; red; 2-6; L; Long-blooming tubular red flowers attract hummingbirds and butterflies. Readily reseeds. This and other Salvia spp. are also great nectar sources for bees.
Florida; Forbs; Mid-Late; Blue mistflower; Conoclinium coelestinum; P; blue, purple; 1-3; M; Stunning periwinkle flowers. Important fall resource for pollinators and migrating butterflies. May bloom early and persist into fall.
Florida; Forbs; Mid-Late; Crimsoneyed rosemallow; Hibiscus moscheutos; P; white, pink, red; 4-6; M; Supports the hibiscus bee (Ptilothrix bombiformis), a specialist of the Malvaceae family (including hibiscus, okra, and cotton).
Florida; Forbs; Mid-Late; Dense gayfeather; Liatris spicata; P; purple; 2-5; L; Showy purple spikes of Liatris spp. are butterfly and bee magnets. Long-blooming resource, especially important for fall migrants.
Florida; Forbs; Mid-Late; Giant ironweed; Vernonia gigantea; P; purple; 2-6; M; Dark purple blossoms support diverse bees, butterflies, and moths, including fall-migrating insects. Beautiful cut flowers.
Florida; Forbs; Mid-Late; Leavenworth's coreopsis; Coreopsis leavenworthii; A, P; yellow; 1.5-3; L; Showy bright blooms support diverse pollinators. Reseeds on bare soil (don't mulch). Other Coreopsis spp. are equally beneficial.
Florida; Forbs; Mid-Late; Narrowleaf silkgrass; Pityopsis graminifolia; P; yellow; 2-3; L; Supports great diversity of bees and other pollinators. Attractive silvery foliage. Drought tolerant. Thrives in dry, sunny conditions.
Florida; Forbs; Late; Seaside goldenrod; Solidago sempervirens; P; yellow; 2.5-3.5; L; Goldenrods (Solidago spp.) are vital late nectar sources for migrating insects, pre-hibernation bumble queens, and honey bees.
Florida; Shrubs & Trees; Early; Eastern redbud; Cercis canadensis; P; pink; 15-30; L; Harbinger of spring. Vital early spring bee nectar, pollen, and nest material source. Larval host for Henry's elfin and Io moth.
Florida; Shrubs & Trees; Early-Mid; False indigobush; Amorpha fruticosa; P; purple; 6-12; M; Legume. Excellent resource for bees and other wildlife. Larval host for southern dogface, gray hairstreak, and silver-spotted skipper.
Florida; Shrubs & Trees; Early-Mid; Sparkleberry; Vaccinium arboreum; P; white; 6-25; L; Gorgeous floliage and flowers with long bloom period attract many bees and other insects. Larval host for striped hairstreak.
Florida; Shrubs & Trees; Mid; Beautyberry; Callicarpa americana; P; pink; 4-8; L; Pioneer species. Tiny flower feeds bees, wasps, and butterflies. Magnificent magenta fruit in fall supports birds and other wildlife.
Florida; Shrubs & Trees; Late; Buttonbush; Cephalanthus occidentalis; P; cream; 5-20; M; Butterfly magnet. Supports diverse bees and other insects in heat of summer. Larval host for titan and hydrangea sphinx moths.
Florida; Shrubs & Trees; Winter-Early; Flatwoods plum; Prunus umbellata; P; white; 12-20; L; Provides early pollen and nectar for various pollinators. Larval host for many butterflies. Produces edible plums after showy bloom.
Florida; Shrubs & Trees; Winter-Early; Highbush blueberry; Vaccinium corymbosum; P; white, pink; 6-12; M; Visited by specialist southeastern blueberry bee (Habropoda laboriosa) and many other insects. Produces delicious fruit. Red fall foliage.
Great Lakes Region; Forbs; Early; Lanceleaf coreopsis; Coreopsis lanceolata; P; yellow; 2; L; This early bloomer can hold its own among grasses and taller species. Bees and syrphid flies are common visitors.
Great Lakes Region; Forbs; Early; Smooth penstemon; Penstemon digitalis; P; white; 2; M; Semi-evergreen. Prolific nectar producer. Visited by a huge diversity of butterflies, moths, and bees, including honey bees.
Great Lakes Region; Forbs; Early; Wild lupine; Lupinus perennis; P; blue; 2; L; Larval host plant for the endangered Karner blue butterfly (Lycaeides melissa samuelis), and various other blue butterflies.
Great Lakes Region; Forbs; Mid; Butterfly milkweed; Asclepias tuberosa; P; orange; 3; L; Milkweeds (Asclepias spp.) are larval hosts for the monarch butterfly (Danaus plexippus) and nectar sources for many bees.
Great Lakes Region; Forbs; Mid; Dotted mint; Monarda punctata; A, B, P; purple; 3; M; Tolerates dry, sandy soils. Blooms prolifically. Highly attractive to beneficial wasps and bees, including honey bees.
Great Lakes Region; Forbs; Mid; Great blue lobelia; Lobelia siphilitica; P; blue; 3; H; Great blue lobelia is an exceptional bumble bee plant, and is excellent for rain gardens.
Great Lakes Region; Forbs; Mid; Purple coneflower; Echinacea purpurea; P; purple; 4; M; Visitors include bees in the genera Bombus, Melissodes, and Svastra, and the leafcutter bee (Megachile pugnata).
Great Lakes Region; Forbs; Mid; Purple prairie clover; Dalea purpurea; P; purple; 2; L; Honey bees and bumble bees are voracious visitors, as well as several specialist polyester bees (Colletes spp.).
Great Lakes Region; Forbs; Mid; Virginia mountain mint; Pycnanthemum virginianum; P; white; 3; M; This and related species have fragrant foliage, and are visited by blue and copper butterflies, honey bees, and more.
Great Lakes Region; Forbs; Mid; Wild bergamot; Monarda fistulosa; P; purple, pink; 4; M; Hawk moths, hummingbirds, and long-tongued bumble bees (such as Bombus pensylvanicus) are common visitors.
Great Lakes Region; Forbs; Mid-Late; Cup plant; Silphium perfoliatum; P; yellow; 8; M; Attracts many bees and butterflies. Thick hollow stems make excellent nests for leafcutter bees and small carpenter bees (Ceratina spp.).
Great Lakes Region; Forbs; Mid-Late; Prairie blazing star; Liatris pycnostachya; P; purple; 5; M; Blazingstars (Liatris spp.) support a broad community of butterflies including monarchs, swallowtails, skippers, and sulfurs.
Great Lakes Region; Forbs; Mid-Late; Purple giant hyssop; Agastache scrophulariifolia; P; purple; 6; M; This and other wild hyssops (Agastache spp.) provide long-lasting, nectar-rich flowers and mint-like foliage.
Great Lakes Region; Forbs; Mid-Late; Rattlesnake master; Eryngium yuccifolium; P; white; 5; M; Attracts incredible insect diversity and is the larval host for the rattlesnake master borer moth (Papaipema eryngii).
Great Lakes Region; Forbs; Mid-Late; Joe Pye weed; Eutrochium fistulosum; P; pink; 7; H; Primary known as a butterfly plant, Joe Pye weed also attracts bees. Tolerant of partial shade and wet soils.
Great Lakes Region; Forbs; Mid-Late; Wingstem; Verbesina alternifolia; P; yellow; 6; H; A major honey producer. Great as a shade-tolerant rain garden or wetland edge plant. May be hard to find in nurseries.
Great Lakes Region; Forbs; Late; Bottle gentian; Gentiana andrewsii; P; blue; 2; M; Its flower petals never open. Almost exclusively pollinated by bumble bees, which pry the petals apart to climb inside.
Great Lakes Region; Forbs; Late; Calico aster; Symphyotrichum lateriflorum; P; white; 3; M; Its shallow nectaries attract more insect diversity than some related species. Tolerant of partial shade.
Great Lakes Region; Forbs; Late; Field thistle; Cirsium discolor; B, P; purple; 6; M; Not to be confused with non-native thistles. A now uncommon but important plant for butterflies and bumble bees.
Great Lakes Region; Forbs; Late; New England aster; Symphyotrichum novae-angliae; P; purple; 6; M; One of the latest fall-blooming plants. Frequented by honey bees and pre-hibernation bumble bee queens.
Great Lakes Region; Forbs; Late; Showy goldenrod; Solidago speciosa; P; yellow; 5; M; Goldenrods (Solidago spp.) are frequented by beneficial solitary wasps, pollen-eating soldier beetles, honey bees, and much more.
Great Lakes Region; Shrubs & Trees; Early-Mid; Cockspur hawthorn; Crataegus crus-galli; P; white; 35; L; Tough native tree that attracts bumble bees, honey bees, species of mining bees (Andrena spp.), as well as songbirds.
Great Lakes Region; Shrubs & Trees; Mid; Leadplant; Amorpha canescens; P; purple; 3; L; Leadplant is generally tolerant of disturbed soils. Readily visited by leafcutter bees, honey bees, and other beneficial insects.
Great Lakes Region; Shrubs & Trees; Mid; New Jersey tea; Ceanothus americanus; P; white; 4; M; Pollinator magnet that attracts species of flies, wasps, bees, and butterflies. Slow growing and prone to deer browsing.
Maritime Northwest Region; Forbs; Early; Bigleaf lupine; Lupinus polyphyllus; P; blue; 3-5; M; Visited extensively by bumble bees and hummingbirds. Prefers moist soils. A larval host for various blue (Icaricia spp.) butterflies.
Maritime Northwest Region; Forbs; Early; Common camas; Camassia quamash; P; blue; 1-3; H; Slow to establish from seed. Establishes better from bulb. Prefers moist soil. Drought tolerant after bloom. Bulbs attractive to wildlife.
Maritime Northwest Region; Forbs; Early; Riverbank lupine; Lupinus rivularis; A, B, P; blue; 4; M; Short-lived and very aggressive. Include at low rate in seed mix. Frequently biennial. A larval host for various blue butterflies.
Maritime Northwest Region; Forbs; Early-Mid; Douglas meadowfoam; Limnanthes douglasii; A; white, yellow; 1; M-H; Easy to establish from seed. Highly attractive to syrphid flies, mining bees, and mason bees. Color variable among subspecies.
Maritime Northwest Region; Forbs; Early-Mid; Meadow checkermallow; Sidalcea campestris; P; pink; 2-6; M; Hardy, long-lived plant. A larval host for numerous butterflies an skippers, including the west coast lady (Vanessa annabella).
Maritime Northwest Region; Forbs; Early-Mid; Slender clarkia; Clarkia gracilis; A; purple; 1.5; L; Fast-growing. Easy to establish from seed. Highly variable with numerous subspecies. Prefers open, well-drained sites.
Maritime Northwest Region; Forbs; Mid; Large-flowered collomia; Collomia grandiflora; A; pink; 1-3; L-M; A very showy native plant that prefers partial shade and dry soils. Bees collect bright blue pollen from the blossoms.
Maritime Northwest Region; Forbs; Mid; Selfheal; Prunella vulgaris spp. lanceolata; P; purple; 1.5; M; Easy to establish from seed. Fast-growing ground cover that will tolerate mowing or grazing. Highly attractive to various pollinators.
Maritime Northwest Region; Forbs; Mid; Showy milkweed; Asclepias speciosa; P; pink; 1.5-5; M; Slow to establish from seed. Larval host for the monarch butterfly and a high-quality nectar source for a wide variety of floral visitors.
Maritime Northwest Region; Forbs; Late; Canada goldenrod; Solidago canadensis; P; yellow; 3-6; M; Slow-growing, rhizomatous plant. Significant resource for honey bees and late-season native bees, such as bumble bees.
Maritime Northwest Region; Forbs; Late; Douglas aster; Symphyotrichum subspicatum; P; purple; 4; M; Establishes better from transplant. Visitors include leafcutter bees and the woodland skipper butterfly (Ochlodes sylvanoides).
Maritime Northwest Region; Forbs; Late; Hall's aster; Symphyotrichum hallii; P; purple; 3; M; Establishes better from transplant. Drought-tolerant rhizomatous plant. One of the latest fall-blooming plants.
Maritime Northwest Region; Forbs; Late; Puget Sound gumweed; Grindelia integrifolia; P; yellow; 3.5; M; Long-lasting flowers. Blooms year-round in warm weather. Tolerates poor soils. Highly attractive to green metallic sweat bees.
Maritime Northwest Region; Shrubs & Trees; Early-Mid; Oregon grape; Berberis aquifolium; P; yellow; 4-8; M; Evergreen. Protect growth at tips during pruning. Attracts long-tongued bee species, such as mason and bumble bees.
Maritime Northwest Region; Shrubs & Trees; Early-Mid; Oregon vine maple; Acer circinatum; P; yellow; 20; M; Prefers shade. Primarily attracts mason and bumble bees. A larval host for the western tiger swallowtail (Papilio rutulus) butterfly.
Maritime Northwest Region; Shrubs & Trees; Early-Mid; Blueblossom; Ceanothus thyrsiflorus; P; blue; 3-18; L; Fast-growing evergreen. Prefers partial shade. Establish from seed or cutting. A larval host for the pale tiger swallowtail (P. eurymedon).
Maritime Northwest Region; Shrubs & Trees; Early-Mid; Cascara buckthorn; Rhamnus purshiana; P; white; 5-35; M; Tall at maturity, but can be maintained as a shrub with pruning. Prefers moist soils. Drought and shade tolerant.
Maritime Northwest Region; Shrubs & Trees; Mid; Nootka rose; Rosa nutkana; P; pink; 2-10; L-H; Thrives in wet or dry soils. Expands by suckering. A source of nesting material for leafcutter bees. A larval host for numerous butterflies.
Maritime Northwest Region; Shrubs & Trees; Mid; Pacific ninebark; Physocarpus capitatus; P; white; 3-8; L-M; Establishes fairly well from cuttings. Extensively visited by small bees. A larvla host for the spring azure (Celastrina ladon) butterfly.
Maritime Northwest Region; Shrubs & Trees; Mid; Salal; Gaultheria shallon; P; white, pink; 1-4; M-H; Evergreen. Occurs north of southwestern Oregon. Mostly visited by bumble bees. Requires partial shade to prevent scorching.
Maritime Northwest Region; Shrubs & Trees; Mid; Buckbrush; Ceanothus cuneatus; P; white; 3.5-11.5; L-M; Long-lived evergreen. Establish from containers or cuttings. Maintain live branch tips during pruning.
Maritime Northwest Region; Shrubs & Trees; Mid; Douglas spiraea; Spiraea douglasii; P; purple; 2-7; M-H; Expands by suckering. Frequently visited by bumble bees. Prefers partial shade and moist soils. Tolerates occassional flooding.
Maritime Northwest Region; Shrubs & Trees; Late; Ocean spray; Holodiscus discolor; P; white; 6-20; M-H; Visited by a wide variety of bees, including bumble bees and tiny sweat bees. A larval host for the spring azure butterfly. Tolerates shade.
Maritime Northwest Region; Shrubs & Trees; Late; Coyotebrush; Baccharis pilularis; P; yellow; 4-8; L; Drought-tolerant dioecious evergreen. Male plants provide critical late-season pollen source for honey bees and native bees. 
Mid-Atlantic Region; Forbs; Early; Lanceleaf coreopsis; Coreopsis lanceolata; P; yellow; 2; M; This early bloomer can hold its own among grasses and taller species. Bees and syrphid flies are common visitors.
Mid-Atlantic Region; Forbs; Early; Smooth penstemon; Penstemon digitalis; P; white; 2; M; Semi-evergreen. Prolific nectar producer. Visited by many butterflies, moths, and bees, including honey bees.
Mid-Atlantic Region; Forbs; Early-Mid; Wild indigo; Baptisia tinctoria; P; yellow; 3; L; Fixes nitrogen that can be used by other plants. Attracts a wide diversty of pollinators, including the Io moth (Automeris io).
Mid-Atlantic Region; Forbs; Mid; Butterfly milkweed; Asclepias tuberosa; P; orange; 3; L; Larval host plant for monarchs (Danaus plexippus). Nectar source for many bees. Swamp and common milkweed are also recommended.
Mid-Atlantic Region; Forbs; Mid; Great blue lobelia; Lobelia siphilitica; P; blue; 3; H; An exceptional bumble bees (Bombus, spp.) plant. Excellent for rain gardens. Tolerates heavy shade.
Mid-Atlantic Region; Forbs; Mid; Joe Pye weed; Eutrochium fistulosum; P; pink; 7; H; Both E. maculatum and E. fistulosum attract butterflies and bees. Prefer moist soils and tolerate partial shade.
Mid-Atlantic Region; Forbs; Mid; Mountain mint; Pycnanthemum spp.; P; white; 3; M; Mountain mints have fragrant foliage. Visited by blue and copper butterflies, bees, and more.
Mid-Atlantic Region; Forbs; Mid; Purple coneflower; Echinacea purpurea; P; purple; 4; M; Visitors include bees in the genera Bombus, Melissodes, and Svastra, and the leafcutter bee (Megachile pugnata).
Mid-Atlantic Region; Forbs; Mid; Wild bergamot; Monarda fistulosa; P; purple, pink; 4; M; Hawk moths, hummingbirds, and long-tongued bumble bees (e.g. Bombus pensylvanicus) are common visitors.
Mid-Atlantic Region; Forbs; Mid-Late; Field thistle; Cirsium discolor; B, P; purple; 6; M; Not to be confused with non-native thistles. A now uncommon but important plant for butterflies and bumble bees.
Mid-Atlantic Region; Forbs; Mid-Late; Marsh blazing star; Liatris spicata; P; purple; 4; M; Blazing stars (Liatris spp.) support a broad community of butterflies including monarchs, swallowtails, skippers, and sulfurs.
Mid-Atlantic Region; Forbs; Mid-Late; Wingstem; Verbesina alternifolia; P; yellow; 6; H; A major honey producer and great as a shade-tolerant rain garden or wetland edge plant. May be hard to find in nurseries.
Mid-Atlantic Region; Forbs; Late; Bottle gentian; Gentiana andrewsii; P; blue; 2; M; Pollinated almost exclusively by bumble bees, which pry open the closed flowers and climb inside to collect pollen.
Mid-Atlantic Region; Forbs; Late; New England aster; Symphyotrichum novae-angliae; P; purple; 6; M; One of the latest fall-blooming plants. Frequented by honey bees, pre-hibernation bumble bee queens, and monarchs.
Mid-Atlantic Region; Forbs; Late; New York ironweed; Vernonia noveboracensis; P; purple; 7; H; Tall, upright plant, great for back borders. Attracts many butterflies and bees, including some specialist long-horned bees.
Mid-Atlantic Region; Forbs; Late; Seaside goldenrod; Solidago sempervirens; P; yellow; 6; L; Highly attractive to bumble bees, monarchs, and other butterflies, especially when planted in large clumps. Tolerates high salinity.
Mid-Atlantic Region; Forbs; Late; Sneezeweed; Helenium autumnale; P; yellow; 2; H; Striking flowers with domed centers and distinctive tri-lobed rays. Attracts leafcutter bees, bumble bees, and honey bees.
Mid-Atlantic Region; Forbs; Late; Wrinkleleaf goldenrod; Solidago rugosa; P; yellow; 4; M; Goldenrods are frequented by beneficial solitary wasps, pollen-eating soldier beetles, hover flies, and much more.
Mid-Atlantic Region; Shrubs & Trees; Early; Cockspur hawthorn; Crataegus crus-galli; P; white; 20; L; Tough native tree that attracts bumble bees, honey bees, mining bees (Andrena spp.), and songbirds.
Mid-Atlantic Region; Shrubs & Trees; Early; Eastern redbud; Cercis canadensis; P; pink; 30; M; Showy flowers create a dramatic display in spring. Pollinated primarily by long-tongued bees.
Mid-Atlantic Region; Shrubs & Trees; Early; Highbush blueberry; Vaccinium corymbosum; P; white, pink; 12; M-H; Well-loved by humans. Provides food for mining bees, mason bees (Osmia spp.), and long-tongued bumble bees.
Mid-Atlantic Region; Shrubs & Trees; Early; Pussy willow; Salix discolor; P; yellow, green; 15; M-H; Silky gray catkins open into flowers that provide spring forage for bees. A larval host for mourning cloak butterflies (Nymphalis antiopa).
Mid-Atlantic Region; Shrubs & Trees; Early-Mid; Basswood; Tilia americana; P; cream; 60; M; Also called 'bee tree' for its abundance of very fragrant, nectar-rich flowers that are extremely attractive to bees.
Mid-Atlantic Region; Shrubs & Trees; Mid; New Jersey tea; Ceanothus americanus; P; white; 4; M; Pollinator magnet that attracts many species of flies, wasps, bees, and butterflies. Slow growing and prone to deer browsing.
Midwest Region; Forbs; Early; Cream wild indigo; Baptisia bracteata; P; cream; 2; L; Visited by queen bumble bees (Bombus spp.) and other long-tongued bees. Larval host for numerous butterflies and skippers.
Midwest Region; Forbs; Early; Golden Alexanders; Zizia aurea; P; yellow; 3; H; Tolerates some shade. Attracts bees and beneficial insects. Larval host for black swallowtails (Papilio polyxenes).
Midwest Region; Forbs; Early; Wild geranium; Geranium maculatum; P; pink; 1; M; Prefers partial but tolerates full sun. Attracts mining (Andrena spp.), mason (Osmia spp.), digger, and bumble bees. Larval host for several moths.
Midwest Region; Forbs; Early-Mid; Smooth penstemon; penstemon digitalis; P; white; 2; M; Semi-evergreen. Prolific nectar producer. Visited by a huge diversity of butterflies, moths, and bees, including honey bees.
Midwest Region; Forbs; Mid; Narrowleaf mountain mint; Pycnanthemum tenuifolium; P; white; 2.5; M; Fragrant foliage. Visited by blue and copper butterflies, many bees (including honey bees), flies, beetles, and other beneficials.
Midwest Region; Forbs; Mid; Pale purple coneflower; Echinacea pallida; P; purple; 3; L; Withstands drought well. Attractive to a wide range of pollinators and a key nectar source for skippers.
Midwest Region; Forbs; Mid; Purple prairie clover; Dalea purpurea; P; purple; 2; L; Legume (contributes nitrogen to the soil). Very attractive to many bees, also to butterflies, flies, and beetles.
Midwest Region; Forbs; Mid; Swamp milkweed; Asclepias incarnata; P; pink; 5; M-H; Great nectar sources for bees and beneficials. Milkweeds (Asclepias spp.) are larval hosts for the monarch butterfly (Danaus plexippus).
Midwest Region; Forbs; Mid; Wild bergamont; Monarda fistulosa; P; purple; 4; M; Hawk moths, hummingbirds, and long-tongued bees (such as bumble bees) are common visitors.
Midwest Region; Forbs; Mid-Late; Culver's root; Veronicastrum virginicum; P; white; 5; M; Does well in average to wet soil. Flowering stalks may need support in gardens.
Midwest Region; Forbs; Mid-Late; Field thistle; Cirsium discolor; B, P; purple; 6; M; Not to be confused with non-native thistles. A now uncommon but important plant for butterflies and bumble bees.
Midwest Region; Forbs; Mid-Late; Missouri ironweed; Vernonia missurica; P; purple; 5; M; Grows under a variety of conditions. Ironweed species (Vernonia spp.) attract late summer butterflies and bees.
Midwest Region; Forbs; Mid-Late; Prairie blazing star; Liatris pycnostachya; P; purple; 5; M; Blazing stars (Liatris spp.) support bees and many butterflies, including monarchs, swallowtails, skippers, and sulfurs.
Midwest Region; Forbs; Mid-Late; Rattlesnake master; Eryngium yuccifolium; P; white; 6; M; Attracts incredible insect diversity and is the larval host for the rattlesnake master borer moth (Papaipema eryngii).
Midwest Region; Forbs; Mid-Late; Yellow giant hyssop; Agastache nepetoides; P; yellow; 6; M-H; Flowers may appear green from a distance. Attractive to bees (including honey bees), butterflies, and some beneficial insects.
Midwest Region; Forbs; Late; Gray goldenrod; Solidago nemoralis; P; yellow; 2; L; Blooms later than most goldenrods. In addition to attracting pollinators, goldenrods are larval hosts for numerous moth species.
Midwest Region; Forbs; Late; Showy goldenrod; Solidago speciosa; P; yellow; 5; M; Goldenrods (Solidago spp) are frequented by beneficial solitary wasps, pollen-eating soldier beetles, honey bees, and much more.
Midwest Region; Forbs; Late; Smooth blue aster; Symphyotrichum laeve; P; blue; 4; L; Grows in a variety of soils. Visited by butterflies, moths, bees, beneficial wasps, and flies. Larval hosts for many moth species.
Midwest Region; Forbs; Late; Wingstem; Verbesina alternifolia; P; yellow; 6; M; Shade-tolerant. Grows well in rain gardens. Attracts butterflies and bees (great for honey bees). Possibly limited in nurseries.
Midwest Region; Shrubs & Trees; Early; Cockspur hawthorn; Crataegus crus-galli; P; white; 35; L; Tough native tree that attracts bumble bees, honey bees, species of mining bees (Andrena spp.), as well as songbirds. Larval host plant to over 25 species of moths.
Midwest Region; Shrubs & Trees; Early; Ninebark; Physocarpus opulifolius; P; white; 8; M; Tolerates some shade and a variety of soil conditions. Attracts bees, butterflies, beneficial wasps, and flies.
Midwest Region; Shrubs & Trees; Early; Prairie willow; Salix humilis; P; white, green; 8; L; Important for spring pollinators. Pollen-producing and nectar-producing flowers are found on separate shrubs. Supports songbirds.
Midwest Region; Shrubs & Trees; Mid; Buttonbush; Cephalanthus occidentalis; P; white; 12; H; Prefers moist soil, great for rain gardens. Attracts bees, butterflies, and skippers. Larval host plant to several moths.
Midwest Region; Shrubs & Trees; Mid; Lead plant; Amorpha canescens; P; purple; 3; L; Tolerates a variety of soil types (prefers drier soils and full sun). Attracts leafcutter bees (Megachile spp.), honey bees, and other insects.
Northeast Region; Forbs; Early; Golden Alexanders; Zizia aurea; P; yellow; 3; H; Larval host for the black swallowtail butterfly. Shallow nectaries attract small beneficial wasps, bees, and flies.
Northeast Region; Forbs; Early; Wild geranium; Geranium maculatum; P; pink; 3; M; Shade-tolerant. Provides important spring food for mining, cuckoo, mason, sweat, bumble, and small carpenter bees.
Northeast Region; Forbs; Early-Mid; Spiderwort; Tradescantia virginiana; P; blue; 3; M; The attractive flowers of this unique iris-relative are frequented by bumble bees and other pollinators. Shade-tolerant.
